line,station,access
linea-1,,
linea-2,,
linea-3,,
linea-4,,
linea-5,,
linea-6-circular,,
linea-7,,
linea-8,,
linea-9,,
linea-10,,
linea-11,,
linea-12-metrosur,,
ramal,,
ml1,,
ml2,,
ml3,,
,,
,Pinar de Chamartín,
,Bambú,
,Chamartín,
,Plaza de Castilla,
,Valdeacederas,
,Tetuán,
,Estrecho,
,Alvarado,
,Cuatro Caminos,
,Ríos Rosas,
,Iglesia,
,Bilbao,
,Tribunal,
,Gran Vía,
,Sol,
,Tirso de Molina,
,Antón Martín,
,Estación del Arte,
,Atocha-Renfe,
,Menéndez Pelayo,
,Pacífico,
,Puente de Vallecas,
,Nueva Numancia,
,Portazgo,
,Buenos Aires,
,Alto del Arenal,
,Miguel Hernández,
,Sierra de Guadalupe,
,Villa de Vallecas,
,Congosto,
,La Gavia,
,Las Suertes,
,Valdecarros,
